"""","和　　　　　歌　　　　　山　　　　　県_パルプ・紙・紙加工品工業_季節調整済(※注)","和　　　　　歌　　　　　山　　　　　県_パルプ・紙・紙加工品工業_前年(月･期)比","和　　　　　歌　　　　　山　　　　　県_プラスチック製品工業_季節調整済(※注)","和　　　　　歌　　　　　山　　　　　県_プラスチック製品工業_前年(月･期)比","和　　　　　歌　　　　　山　　　　　県_ゴム製品工業_季節調整済(※注)","和　　　　　歌　　　　　山　　　　　県_ゴム製品工業_前年(月･期)比"
"平成20年","99.8","","100.0","","115.5",""
"平成21年","97.3","-2.505010020040075","96.0","-4.0","70.8","-38.701298701298704"
"平成22年","100.0","2.7749229188078033","100.0","4.166666666666671","100.0","41.24293785310735"
"平成23年","107.0","7.0","101.3","1.299999999999983","114.1","14.099999999999994"
"平成24年","103.0","-3.738317757009341","103.0","1.6781836130305976","91.0","-20.24539877300613"
"平成25年","102.1","-0.8737864077669997","103.7","0.679611650485441","78.8","-13.406593406593416"
"平成26年","102.2","0.09794319294809384","102.2","-1.446480231436837","79.0","0.2538071065989982"
"平成20年1－3月","99.0","","101.83333333333333","","124.43333333333332",""
"平成20年4－6月","100.06666666666666","1.0774410774410796","99.46666666666665","-2.324058919803605","110.13333333333333","-11.492097508706138"
"平成20年7－9月","103.3","3.2311792138574305","100.16666666666667","0.7037533512064442","113.53333333333335","3.0871670702179443"
"平成20年10－12月","101.96666666666665","-1.2907389480477605","98.23333333333335","-1.9301164725457483","105.59999999999998","-6.987668819729919"
"平成21年1－3月","97.10000000000001","-4.7728015691402135","96.46666666666665","-1.7984390906006382","75.33333333333333","-28.661616161616152"
"平成21年4－6月","95.90000000000002","-1.2358393408856756","96.7","0.2418797512094102","77.03333333333333","2.2566371681415944"
"平成21年7－9月","99.13333333333333","3.3715676051442074","94.63333333333333","-2.1371940710100006","77.7","0.8654262224145413"
"平成21年10－12月","99.36666666666667","0.23537323470075933","96.13333333333333","1.5850651637900626","75.83333333333333","-2.4024024024024158"
"平成22年1－3月","101.33333333333333","1.9792016101979186","98.63333333333333","2.600554785020819","83.0","9.45054945054946"
"平成22年4－6月","100.36666666666667","-0.9539473684210407","99.86666666666667","1.250422440013537","99.60000000000001","20.000000000000014"
"平成22年7－9月","99.76666666666667","-0.5978080371969554","100.89999999999999","1.0347129506007775","101.06666666666666","1.4725568942436382"
"平成22年10－12月","98.73333333333333","-1.035750083528228","101.33333333333333","0.42946812025108727","113.39999999999999","12.203166226912927"
"平成23年1－3月","104.43333333333334","5.773126266036456","101.5","0.16447368421053454","120.73333333333335","6.466784244562035"
"平成23年4－6月","109.76666666666667","5.106926268752005","101.60000000000001","0.09852216748768683","110.0","-8.890115958034244"
"平成23年7－9月","109.2","-0.5162465836623085","101.73333333333335","0.13123359580053773","114.43333333333334","4.030303030303031"
"平成23年10－12月","108.53333333333335","-0.6105006105005941","101.36666666666667","-0.36041939711665805","103.73333333333335","-9.350422371103988"
"平成24年1－3月","107.46666666666665","-0.9828009828009954","100.8","-0.5590266359750302","110.60000000000001","6.6195372750642605"
"平成24年4－6月","102.7","-4.43548387096773","103.10000000000001","2.281746031746053","103.5","-6.4195298372513605"
"平成24年7－9月","103.26666666666667","0.5517689061992854","104.76666666666667","1.6165535079210969","83.13333333333334","-19.677938808373582"
"平成24年10－12月","103.93333333333334","0.6455777921239587","103.16666666666667","-1.5272033089405","70.49999999999999","-15.196471531676053"
"平成25年1－3月","102.40000000000002","-1.4753046824887548","104.13333333333333","0.9369951534733474","81.30000000000001","15.31914893617025"
"平成25年4－6月","100.53333333333335","-1.8229166666666714","104.23333333333333","0.09603072983355787","80.43333333333334","-1.0660106601066133"
"平成25年7－9月","102.33333333333333","1.7904509283819436","103.0","-1.1832427246562247","77.66666666666667","-3.439701616245344"
"平成25年10－12月","103.06666666666666","0.7166123778501685","102.93333333333332","-0.06472491909386235","80.3","3.39055793991416"
"平成26年1－3月","109.43333333333334","6.177231565329905","106.7","3.6593264248704855","80.86666666666667","0.7056870070568948"
"平成26年4－6月","102.3","-6.518428266829119","103.23333333333333","-3.2489846922836563","70.0","-13.43775762572136"
"平成26年7－9月","96.96666666666665","-5.213424568263292","101.33333333333333","-1.8404907975460105","79.89999999999999","14.142857142857125"
